product_id,sku,name,brand,category,price,stock,rating,description,image_url
1,EL-TEC-5012,Durable TechCorp Charging Pad,TechCorp,Electronics,141.68,149,3.6,Experience the ultimate performance with the Durable TechCorp Charging Pad. Designed for modern users seeking quality in electronics.,https://images.unsplash.com/photo-1506107107737?auto=format&fit=crop&w=600&q=80
2,EL-TEC-9279,Ergonomic TechCorp Smart Watch,TechCorp,Electronics,365.18,149,4.1,Experience the ultimate performance with the Ergonomic TechCorp Smart Watch. Designed for modern users seeking quality in electronics.,https://images.unsplash.com/photo-1579238749482?auto=format&fit=crop&w=600&q=80
3,HO-COO-6574,Ultra-Light CookSmart Non-Stick Frying Pan,CookSmart,Home & Kitchen,173.93,96,3.7,Experience the ultimate performance with the Ultra-Light CookSmart Non-Stick Frying Pan. Designed for modern users seeking quality in home & kitchen.,https://images.unsplash.com/photo-1514516677245?auto=format&fit=crop&w=600&q=80
4,HO-BRE-1711,Durable BrewMaster Ceramic Coffee Mug,BrewMaster,Home & Kitchen,440.53,106,3.6,Experience the ultimate performance with the Durable BrewMaster Ceramic Coffee Mug. Designed for modern users seeking quality in home & kitchen.,https://images.unsplash.com/photo-1584304365998?auto=format&fit=crop&w=600&q=80
5,HO-ECO-1750,Eco-Friendly EcoLiving Non-Stick Frying Pan,EcoLiving,Home & Kitchen,400.14,30,4.8,Experience the ultimate performance with the Eco-Friendly EcoLiving Non-Stick Frying Pan. Designed for modern users seeking quality in home & kitchen.,https://images.unsplash.com/photo-1516606420914?auto=format&fit=crop&w=600&q=80
6,BE-SCE-3664,Sleek ScentOasis Organic Argan Hair Oil,ScentOasis,Beauty,228.4,78,4.6,Experience the ultimate performance with the Sleek ScentOasis Organic Argan Hair Oil. Designed for modern users seeking quality in beauty.,https://images.unsplash.com/photo-1588835160792?auto=format&fit=crop&w=600&q=80
7,EL-AUR-9751,Minimalist Aura Charging Pad,Aura,Electronics,440.17,4,3.9,Experience the ultimate performance with the Minimalist Aura Charging Pad. Designed for modern users seeking quality in electronics.,https://images.unsplash.com/photo-1589873870754?auto=format&fit=crop&w=600&q=80
8,SP-TRA-4752,Premium TrailBlazer Resistance Bands Set,TrailBlazer,Sports & Outdoors,494.85,112,3.9,Experience the ultimate performance with the Premium TrailBlazer Resistance Bands Set. Designed for modern users seeking quality in sports & outdoors.,https://images.unsplash.com/photo-1581359177700?auto=format&fit=crop&w=600&q=80
9,HO-NES-8517,Ultra-Light NestComfort Digital Food Scale,NestComfort,Home & Kitchen,94.28,5,4.3,Experience the ultimate performance with the Ultra-Light NestComfort Digital Food Scale. Designed for modern users seeking quality in home & kitchen.,https://images.unsplash.com/photo-1580517811206?auto=format&fit=crop&w=600&q=80
10,BE-COL-4593,Sleek ColorPop Organic Argan Hair Oil,ColorPop,Beauty,598.41,4,3.6,Experience the ultimate performance with the Sleek ColorPop Organic Argan Hair Oil. Designed for modern users seeking quality in beauty.,https://images.unsplash.com/photo-1517650808629?auto=format&fit=crop&w=600&q=80
